name,area_m2,rooms,bathrooms,garages,attic_m2,price_pln_net,price_per_m2_net,price_pln_gross,price_per_m2_gross,promo,na_zgloszenie,url
Alto Grandezza 67,67,5,1,,,267999,3999.99,289438.92,4319.98,1,1,https://altomodular.pl/dom/alto-grandezza/
Alto Superbo 108,108,4,2,1,,369999,3425.92,399598.92,3699.99,1,1,https://altomodular.pl/dom/alto-superbo-108/
Alto Bella 80,80,5,1,,,312999,3912.49,338038.92,4225.49,1,1,https://altomodular.pl/dom/alto-bella-80/
Alto Vento 103,103,4,2,,82,447999,4349.5,483838.92,4697.47,1,0,https://altomodular.pl/dom/alto-vento-103/
Alto Barno 68,68,4,2,,59,324999,4779.4,350998.92,5161.75,1,1,https://altomodular.pl/dom/alto-barno-68/
Alto Bravo 77,77,4,1,,,317999,4129.86,343438.92,4460.25,0,1,https://altomodular.pl/dom/alto-bravo-77/
Alto Perfecto 85,85,5,1,,63,397999,4682.34,429838.92,5056.93,1,0,https://altomodular.pl/dom/alto-perfecto-85/
Alto Forza 132,132,6,2,,,479999,3636.36,518398.92,3927.26,1,1,https://altomodular.pl/dom/alto-forza-132/
Alto Dimora 133,133,4,2,1,,407999,3067.66,440638.92,3313.07,1,0,https://altomodular.pl/dom/alto-dimora-133/
Alto Incanto 34,34,2,1,,,224999,6617.62,242998.92,7147.03,1,1,https://altomodular.pl/dom/alto-incanto-34/
Alto Aria 35,35,2,1,,,208999,5971.4,225718.92,6449.11,1,1,https://altomodular.pl/dom/alto-aria-35/
Alto Romanza 40,40,2,1,,,239999,5999.98,259198.92,6479.97,1,1,https://altomodular.pl/dom/alto-romanza-40/
Alto Brillante 55,55,3,1,,,257999,4690.89,278638.92,5066.16,1,1,https://altomodular.pl/dom/alto-brillante-55/
Alto Liberta 66,66,4,1,,,264999,4015.14,286198.92,4336.35,1,1,https://altomodular.pl/dom/alto-liberta-66/
Alto Sfoggio 52,52,3,1,,,258999,4980.75,279718.92,5379.21,1,1,https://altomodular.pl/dom/alto-sfoggio-52/
Alto Optimale 51,51,3,1,,,259999,5098.02,280798.92,5505.86,1,1,https://altomodular.pl/dom/alto-optimale-51/
Alto Stella 60,60,3,1,,25,289999,4833.32,313198.92,5219.98,1,1,https://altomodular.pl/dom/alto-stella-60/
Alto Sublime 91,91,4,2,1,,329999,3626.36,356398.92,3916.47,1,1,https://altomodular.pl/dom/alto-sublime-91/
Alto Tempo 83,83,5,1,1,,299999,3614.45,323998.92,3903.6,1,1,https://altomodular.pl/dom/alto-tempo-83/
Alto Soffito 85,85,4,2,,,358999,4223.52,387718.92,4561.4,1,1,https://altomodular.pl/dom/alto-soffito-85/
Alto Montagne 70,70,3,2,,,339999,4857.13,367198.92,5245.7,1,1,https://altomodular.pl/dom/alto-montagne-70/
Alto Legame 78,78,3,1,,,349999,4487.17,377998.92,4846.14,1,0,https://altomodular.pl/dom/alto-legame-78/
Alto Fiore 104,104,6,2,,,389999,3749.99,421198.92,4049.99,1,1,https://altomodular.pl/dom/alto-fiore-104-2/
Alto Casa 104,104,6,2,,,389999,3749.99,421198.92,4049.99,1,1,https://altomodular.pl/dom/alto-casa-104/
Alto Belva 77,77,4,2,,44,359999,4675.31,388798.92,5049.34,1,0,https://altomodular.pl/dom/alto-belva-77/
Alto Foresta 79,79,3,1,,40,373999,4734.16,403918.92,5112.9,1,0,https://altomodular.pl/dom/alto-foresta-79/
Alto Tramonto 92,92,4,2,,31,412999,4489.12,446038.92,4848.25,1,0,https://altomodular.pl/dom/alto-tramonto-92/
Alto Familiare 119,119,4,1,,66,495999,4168.06,535678.92,4501.5,1,0,https://altomodular.pl/dom/alto-familiare-119/
Alto Aperto 140,140,4,2,,,539999,3857.14,583198.92,4165.71,1,0,https://altomodular.pl/dom/alto-aperto-140/
Alto Primavera 115,115,5,2,,74,517999,4504.34,559438.92,4864.69,1,0,https://altomodular.pl/dom/alto-primavera-115/
Alto Aurora 150,150,5,2,1,,568999,3793.33,614518.92,4096.79,1,0,https://altomodular.pl/dom/alto-aurora-150/
Alto Tendenza 126,126,4,2,,70,533999,4238.09,576718.92,4577.13,1,0,https://altomodular.pl/dom/alto-tendenza-126/
Alto Sovrano 144,144,4,3,,84,609999,4236.1,658798.92,4574.99,1,0,https://altomodular.pl/dom/alto-sovrano-144/
